date_actual,CIT_Short,player
2012-08-21 00:00:00,-77632,Com
2012-08-21 00:00:00,-3890,Index
2012-08-21 00:00:00,-42943,Ncom
2012-08-21 00:00:00,-8809,Nrep
2012-08-28 00:00:00,-76370,Com
2012-08-28 00:00:00,-4187,Index
2012-08-28 00:00:00,-45791,Ncom
2012-08-28 00:00:00,-8424,Nrep
2012-09-04 00:00:00,-75001,Com
2012-09-04 00:00:00,-4041,Index
2012-09-04 00:00:00,-48431,Ncom
2012-09-04 00:00:00,-8890,Nrep
2012-09-11 00:00:00,-79522,Com
2012-09-11 00:00:00,-4573,Index
2012-09-11 00:00:00,-47538,Ncom
2012-09-11 00:00:00,-8710,Nrep
2012-09-18 00:00:00,-83648,Com
2012-09-18 00:00:00,-4507,Index
2012-09-18 00:00:00,-37658,Ncom
2012-09-18 00:00:00,-8445,Nrep
2012-09-25 00:00:00,-85197,Com
2012-09-25 00:00:00,-2933,Index
2012-09-25 00:00:00,-35760,Ncom
2012-09-25 00:00:00,-8761,Nrep
2012-10-02 00:00:00,-94661,Com
2012-10-02 00:00:00,-3317,Index
2012-10-02 00:00:00,-30820,Ncom
2012-10-02 00:00:00,-6316,Nrep
2012-10-09 00:00:00,-89002,Com
2012-10-09 00:00:00,-3778,Index
2012-10-09 00:00:00,-31221,Ncom
2012-10-09 00:00:00,-8022,Nrep
2012-10-16 00:00:00,-81663,Com
2012-10-16 00:00:00,-4189,Index
2012-10-16 00:00:00,-40028,Ncom
2012-10-16 00:00:00,-9104,Nrep
2012-10-23 00:00:00,-78318,Com
2012-10-23 00:00:00,-3627,Index
2012-10-23 00:00:00,-42790,Ncom
2012-10-23 00:00:00,-9851,Nrep
2012-10-30 00:00:00,-75521,Com
2012-10-30 00:00:00,-4274,Index
2012-10-30 00:00:00,-43975,Ncom
2012-10-30 00:00:00,-10277,Nrep
2012-11-06 00:00:00,-74332,Com
2012-11-06 00:00:00,-5172,Index
2012-11-06 00:00:00,-49321,Ncom
2012-11-06 00:00:00,-10830,Nrep
2012-11-13 00:00:00,-63324,Com
2012-11-13 00:00:00,-2567,Index
2012-11-13 00:00:00,-54719,Ncom
2012-11-13 00:00:00,-10699,Nrep
2012-11-20 00:00:00,-62312,Com
2012-11-20 00:00:00,-2390,Index
2012-11-20 00:00:00,-56357,Ncom
2012-11-20 00:00:00,-8913,Nrep
2012-11-27 00:00:00,-63454,Com
2012-11-27 00:00:00,-2497,Index
2012-11-27 00:00:00,-55671,Ncom
2012-11-27 00:00:00,-9235,Nrep
2012-12-04 00:00:00,-63396,Com
2012-12-04 00:00:00,-2479,Index
2012-12-04 00:00:00,-56452,Ncom
2012-12-04 00:00:00,-10321,Nrep
2012-12-11 00:00:00,-66012,Com
2012-12-11 00:00:00,-2509,Index
2012-12-11 00:00:00,-55305,Ncom
2012-12-11 00:00:00,-9447,Nrep
2012-12-18 00:00:00,-66112,Com
2012-12-18 00:00:00,-2725,Index
2012-12-18 00:00:00,-57324,Ncom
2012-12-18 00:00:00,-10389,Nrep
2012-12-24 00:00:00,-66745,Com
2012-12-24 00:00:00,-2551,Index
2012-12-24 00:00:00,-57589,Ncom
2012-12-24 00:00:00,-6730,Nrep
2012-12-31 00:00:00,-67622,Com
2012-12-31 00:00:00,-2470,Index
2012-12-31 00:00:00,-56764,Ncom
2012-12-31 00:00:00,-9791,Nrep
2013-01-08 00:00:00,-72308,Com
2013-01-08 00:00:00,-3352,Index
2013-01-08 00:00:00,-57489,Ncom
2013-01-08 00:00:00,-8833,Nrep
2013-01-15 00:00:00,-80538,Com
2013-01-15 00:00:00,-3599,Index
2013-01-15 00:00:00,-49630,Ncom
2013-01-15 00:00:00,-9207,Nrep
2013-01-22 00:00:00,-82913,Com
2013-01-22 00:00:00,-4387,Index
2013-01-22 00:00:00,-48031,Ncom
2013-01-22 00:00:00,-10521,Nrep
2013-01-29 00:00:00,-84276,Com
2013-01-29 00:00:00,-4701,Index
2013-01-29 00:00:00,-46393,Ncom
2013-01-29 00:00:00,-9761,Nrep
2013-02-05 00:00:00,-83705,Com
2013-02-05 00:00:00,-5104,Index
2013-02-05 00:00:00,-52568,Ncom
2013-02-05 00:00:00,-9365,Nrep
2013-02-12 00:00:00,-73294,Com
2013-02-12 00:00:00,-5693,Index
2013-02-12 00:00:00,-61419,Ncom
2013-02-12 00:00:00,-9484,Nrep
2013-02-19 00:00:00,-70575,Com
2013-02-19 00:00:00,-4298,Index
2013-02-19 00:00:00,-66491,Ncom
2013-02-19 00:00:00,-9396,Nrep
2013-02-26 00:00:00,-75728,Com
2013-02-26 00:00:00,-3018,Index
2013-02-26 00:00:00,-65128,Ncom
2013-02-26 00:00:00,-9383,Nrep
2013-03-05 00:00:00,-77625,Com
2013-03-05 00:00:00,-2899,Index
2013-03-05 00:00:00,-66546,Ncom
2013-03-05 00:00:00,-9508,Nrep
2013-03-12 00:00:00,-78234,Com
2013-03-12 00:00:00,-2944,Index
2013-03-12 00:00:00,-64555,Ncom
2013-03-12 00:00:00,-9027,Nrep
2013-03-19 00:00:00,-78021,Com
2013-03-19 00:00:00,-2983,Index
2013-03-19 00:00:00,-71980,Ncom
2013-03-19 00:00:00,-10866,Nrep
2013-03-26 00:00:00,-78840,Com
2013-03-26 00:00:00,-3301,Index
2013-03-26 00:00:00,-71164,Ncom
2013-03-26 00:00:00,-9092,Nrep
2013-04-02 00:00:00,-80170,Com
2013-04-02 00:00:00,-3709,Index
2013-04-02 00:00:00,-68122,Ncom
2013-04-02 00:00:00,-9967,Nrep
2013-04-09 00:00:00,-82071,Com
2013-04-09 00:00:00,-4896,Index
2013-04-09 00:00:00,-64302,Ncom
2013-04-09 00:00:00,-8605,Nrep
2013-04-16 00:00:00,-78150,Com
2013-04-16 00:00:00,-4138,Index
2013-04-16 00:00:00,-65470,Ncom
2013-04-16 00:00:00,-8820,Nrep
2013-04-23 00:00:00,-82718,Com
2013-04-23 00:00:00,-3993,Index
2013-04-23 00:00:00,-56289,Ncom
2013-04-23 00:00:00,-7823,Nrep
2013-04-30 00:00:00,-82025,Com
2013-04-30 00:00:00,-3683,Index
2013-04-30 00:00:00,-61230,Ncom
2013-04-30 00:00:00,-9001,Nrep
2013-05-07 00:00:00,-88425,Com
2013-05-07 00:00:00,-3370,Index
2013-05-07 00:00:00,-49287,Ncom
2013-05-07 00:00:00,-9470,Nrep
2013-05-14 00:00:00,-98028,Com
2013-05-14 00:00:00,-3237,Index
2013-05-14 00:00:00,-40282,Ncom
2013-05-14 00:00:00,-8361,Nrep
2013-05-21 00:00:00,-90917,Com
2013-05-21 00:00:00,-3121,Index
2013-05-21 00:00:00,-49540,Ncom
2013-05-21 00:00:00,-9199,Nrep
2013-05-28 00:00:00,-90303,Com
2013-05-28 00:00:00,-3454,Index
2013-05-28 00:00:00,-61955,Ncom
2013-05-28 00:00:00,-10738,Nrep
2013-06-04 00:00:00,-90474,Com
2013-06-04 00:00:00,-3815,Index
2013-06-04 00:00:00,-67047,Ncom
2013-06-04 00:00:00,-11374,Nrep
2013-06-11 00:00:00,-90781,Com
2013-06-11 00:00:00,-3716,Index
2013-06-11 00:00:00,-67793,Ncom
2013-06-11 00:00:00,-12001,Nrep
2013-06-18 00:00:00,-77086,Com
2013-06-18 00:00:00,-2584,Index
2013-06-18 00:00:00,-66664,Ncom
2013-06-18 00:00:00,-9747,Nrep
2013-06-25 00:00:00,-69893,Com
2013-06-25 00:00:00,-2382,Index
2013-06-25 00:00:00,-66553,Ncom
2013-06-25 00:00:00,-8584,Nrep
2013-07-02 00:00:00,-73571,Com
2013-07-02 00:00:00,-2354,Index
2013-07-02 00:00:00,-61226,Ncom
2013-07-02 00:00:00,-8645,Nrep
2013-07-09 00:00:00,-74279,Com
2013-07-09 00:00:00,-1873,Index
2013-07-09 00:00:00,-61626,Ncom
2013-07-09 00:00:00,-8753,Nrep
2013-07-16 00:00:00,-79079,Com
2013-07-16 00:00:00,-1784,Index
2013-07-16 00:00:00,-57466,Ncom
2013-07-16 00:00:00,-8196,Nrep
2013-07-23 00:00:00,-85779,Com
2013-07-23 00:00:00,-1731,Index
2013-07-23 00:00:00,-49433,Ncom
2013-07-23 00:00:00,-7817,Nrep
2013-07-30 00:00:00,-86861,Com
2013-07-30 00:00:00,-1177,Index
2013-07-30 00:00:00,-50118,Ncom
2013-07-30 00:00:00,-8031,Nrep
2013-08-06 00:00:00,-84475,Com
2013-08-06 00:00:00,-1311,Index
2013-08-06 00:00:00,-56558,Ncom
2013-08-06 00:00:00,-9512,Nrep
2013-08-13 00:00:00,-78206,Com
2013-08-13 00:00:00,-1333,Index
2013-08-13 00:00:00,-52519,Ncom
